column,unique_count,top_value,top_value_count,top_value_pct
AIRLINE,14,WN,1242403,21.74
TAIL_NUMBER,4896,N480HA,3765,0.07
ORIGIN_AIRPORT,322,ATL,376015,6.58
DESTINATION_AIRPORT,322,ATL,375622,6.57
ORIGIN_AIRPORT_ORIGINAL,628,ATL,343506,6.01
DESTINATION_AIRPORT_ORIGINAL,629,ATL,343076,6.0
ORIGIN_AIRPORT_WAS_NUMERIC,2,False,5231130,91.55
DESTINATION_AIRPORT_WAS_NUMERIC,2,False,5231130,91.55
AIRLINE_NAME,14,Southwest Airlines Co.,1242403,21.74
ORIGIN_AIRPORT_NAME,322,Hartsfield-Jackson Atlanta International Airport,376015,6.58
ORIGIN_CITY,308,Chicago,390403,6.83
ORIGIN_STATE,54,CA,697885,12.21
ORIGIN_COUNTRY,1,USA,5714008,100.0
DESTINATION_AIRPORT_NAME,322,Hartsfield-Jackson Atlanta International Airport,375622,6.57
DESTINATION_CITY,308,Chicago,389449,6.82
DESTINATION_STATE,54,CA,698243,12.22
DESTINATION_COUNTRY,1,USA,5714008,100.0
ROUTE,4657,SFO-LAX,14756,0.26
IS_WEEKEND,2,False,4221708,73.88
IS_DELAYED_15,2,False,4650569,81.39
