column,dtype,missing_count,missing_pct,unique_count,unique_pct
CANCELLATION_REASON,str,5714008,100.0,0,0.0
AIRLINE_DELAY,float64,4650569,81.39,1067,0.0187
LATE_AIRCRAFT_DELAY,float64,4650569,81.39,695,0.0122
WEATHER_DELAY,float64,4650569,81.39,632,0.0111
AIR_SYSTEM_DELAY,float64,4650569,81.39,570,0.01
SECURITY_DELAY,float64,4650569,81.39,154,0.0027
ORIGIN_LATITUDE,float64,4962,0.09,319,0.0056
ORIGIN_LONGITUDE,float64,4962,0.09,319,0.0056
DESTINATION_LATITUDE,float64,4970,0.09,319,0.0056
DESTINATION_LONGITUDE,float64,4970,0.09,319,0.0056
FLIGHT_NUMBER,int64,0,0.0,6946,0.1216
TAIL_NUMBER,str,0,0.0,4896,0.0857
ROUTE,object,0,0.0,4657,0.0815
DEPARTURE_TIME,float64,0,0.0,1440,0.0252
WHEELS_OFF,float64,0,0.0,1440,0.0252
WHEELS_ON,float64,0,0.0,1440,0.0252
ARRIVAL_TIME,float64,0,0.0,1440,0.0252
SCHEDULED_ARRIVAL,int64,0,0.0,1434,0.0251
DISTANCE,int64,0,0.0,1350,0.0236
SCHEDULED_DEPARTURE,int64,0,0.0,1320,0.0231
ARRIVAL_DELAY,float64,0,0.0,1240,0.0217
DEPARTURE_DELAY,float64,0,0.0,1212,0.0212
ELAPSED_TIME,float64,0,0.0,712,0.0125
AIR_TIME,float64,0,0.0,675,0.0118
DESTINATION_AIRPORT_ORIGINAL,string,0,0.0,629,0.011
ORIGIN_AIRPORT_ORIGINAL,string,0,0.0,628,0.011
SCHEDULED_TIME,float64,0,0.0,549,0.0096
FLIGHT_DATE,datetime64[us],0,0.0,365,0.0064
ORIGIN_AIRPORT,object,0,0.0,322,0.0056
DESTINATION_AIRPORT,object,0,0.0,322,0.0056
ORIGIN_AIRPORT_NAME,str,0,0.0,322,0.0056
DESTINATION_AIRPORT_NAME,str,0,0.0,322,0.0056
ORIGIN_CITY,str,0,0.0,308,0.0054
DESTINATION_CITY,str,0,0.0,308,0.0054
TAXI_OUT,float64,0,0.0,184,0.0032
TAXI_IN,float64,0,0.0,184,0.0032
ORIGIN_STATE,str,0,0.0,54,0.0009
DESTINATION_STATE,str,0,0.0,54,0.0009
DAY,int64,0,0.0,31,0.0005
SCHEDULED_ARRIVAL_HOUR,int64,0,0.0,25,0.0004
SCHEDULED_DEPARTURE_HOUR,int64,0,0.0,24,0.0004
AIRLINE,object,0,0.0,14,0.0002
AIRLINE_NAME,str,0,0.0,14,0.0002
MONTH,int64,0,0.0,12,0.0002
DAY_OF_WEEK,int64,0,0.0,7,0.0001
ORIGIN_AIRPORT_WAS_NUMERIC,boolean,0,0.0,2,0.0
DESTINATION_AIRPORT_WAS_NUMERIC,boolean,0,0.0,2,0.0
IS_WEEKEND,bool,0,0.0,2,0.0
YEAR,int64,0,0.0,1,0.0
DIVERTED,int64,0,0.0,1,0.0
CANCELLED,int64,0,0.0,1,0.0
ORIGIN_COUNTRY,str,0,0.0,1,0.0
DESTINATION_COUNTRY,str,0,0.0,1,0.0
