column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,iqr,lower_iqr_limit,upper_iqr_limit,outlier_count_iqr,outlier_pct_iqr
YEAR,5714008.0,2015.0,0.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,0.0,2015.0,2015.0,0,0.0
MONTH,5714008.0,6.54779937304953,3.397421141832563,1.0,1.0,1.0,4.0,7.0,9.0,12.0,12.0,12.0,5.0,-3.5,16.5,0,0.0
DAY,5714008.0,15.707591063925706,8.774394160365249,1.0,1.0,2.0,8.0,16.0,23.0,29.0,31.0,31.0,15.0,-14.5,45.5,0,0.0
DAY_OF_WEEK,5714008.0,3.9326427264365047,1.9859673058795264,1.0,1.0,1.0,2.0,4.0,6.0,7.0,7.0,7.0,4.0,-4.0,12.0,0,0.0
FLIGHT_NUMBER,5714008.0,2164.3835470653876,1754.7060222809416,1.0,29.0,166.0,728.0,1681.0,3211.0,5562.0,6460.0,9320.0,2483.0,-2996.5,6935.5,26659,0.47
SCHEDULED_DEPARTURE,5714008.0,1328.907421025662,483.5250578661507,1.0,530.0,610.0,916.0,1325.0,1730.0,2115.0,2245.0,2359.0,814.0,-305.0,2951.0,0,0.0
DEPARTURE_TIME,5714008.0,1335.065627489496,496.41981689472755,1.0,511.0,606.0,921.0,1330.0,1740.0,2132.0,2300.0,2400.0,819.0,-307.5,2968.5,0,0.0
DEPARTURE_DELAY,5714008.0,9.29484190431655,36.88972372075724,-82.0,-13.0,-9.0,-5.0,-2.0,7.0,67.0,167.0,1988.0,12.0,-23.0,25.0,730519,12.78
TAXI_OUT,5714008.0,16.06549763318497,8.882448812881513,1.0,6.0,8.0,11.0,14.0,19.0,31.0,50.0,225.0,8.0,-1.0,31.0,281167,4.92
WHEELS_OFF,5714008.0,1357.0990481637407,498.0237451020787,1.0,510.0,620.0,935.0,1343.0,1754.0,2143.0,2307.0,2400.0,819.0,-293.5,2982.5,0,0.0
SCHEDULED_TIME,5714008.0,141.8939740721399,75.31399776232861,18.0,44.0,59.0,85.0,123.0,174.0,309.0,377.0,718.0,89.0,-48.5,307.5,289411,5.06
ELAPSED_TIME,5714008.0,137.00618917579393,74.21107169827977,14.0,41.0,54.0,82.0,118.0,168.0,299.0,367.0,766.0,86.0,-47.0,297.0,291084,5.09
AIR_TIME,5714008.0,113.51162809012519,72.2308216202854,7.0,23.0,34.0,60.0,94.0,144.0,273.0,337.0,690.0,84.0,-66.0,270.0,296342,5.19
DISTANCE,5714008.0,824.4569032804994,608.6619895866711,31.0,100.0,173.0,373.0,650.0,1065.0,2239.0,2588.0,4983.0,692.0,-665.0,2103.0,345365,6.04
WHEELS_ON,5714008.0,1471.3193324195556,521.8682396355193,1.0,32.0,657.0,1054.0,1508.0,1911.0,2243.0,2341.0,2400.0,857.0,-231.5,3196.5,0,0.0
TAXI_IN,5714008.0,7.429063452483791,5.618951352792094,1.0,2.0,3.0,4.0,6.0,9.0,16.0,30.0,248.0,5.0,-3.5,16.5,281089,4.92
SCHEDULED_ARRIVAL,5714008.0,1493.18681440418,506.90112096296133,1.0,44.0,725.0,1110.0,1520.0,1917.0,2247.0,2346.0,2400.0,807.0,-100.5,3127.5,0,0.0
ARRIVAL_TIME,5714008.0,1476.3734604501778,525.9730166102186,1.0,27.0,657.0,1058.0,1512.0,1916.0,2246.0,2343.0,2400.0,858.0,-229.0,3203.0,0,0.0
ARRIVAL_DELAY,5714008.0,4.407057357987598,39.2712970938864,-87.0,-34.0,-25.0,-13.0,-5.0,8.0,66.0,167.0,1971.0,21.0,-44.5,39.5,512002,8.96
AIR_SYSTEM_DELAY,5714008.0,2.508880281581685,13.17102165844164,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,1134.0,0.0,0.0,0.0,564826,9.88
SECURITY_DELAY,5714008.0,0.01417306381090121,0.9251751768949018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,3484,0.06
AIRLINE_DELAY,5714008.0,3.5304388793295356,22.049916366433187,0.0,0.0,0.0,0.0,0.0,0.0,17.0,83.0,1971.0,0.0,0.0,0.0,570022,9.98
LATE_AIRCRAFT_DELAY,5714008.0,4.368550236541496,20.7542139568326,0.0,0.0,0.0,0.0,0.0,0.0,27.0,103.0,1331.0,0.0,0.0,0.0,556953,9.75
WEATHER_DELAY,5714008.0,0.5425671437631869,8.887774611079625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1211.0,0.0,0.0,0.0,64716,1.13
ORIGIN_LATITUDE,5709046.0,36.63714661788677,5.996804540914585,13.48345,20.89865,26.07258,32.89595,37.32547,40.78839,44.88055,47.482,71.28545,7.892440000000001,21.05729,52.62705,110180,1.93
ORIGIN_LONGITUDE,5709046.0,-95.56713896360267,18.177809956686385,-176.64603,-157.92241,-122.37484,-111.97777,-90.25803,-81.68786,-73.77893,-71.00518,-64.79856,30.289910000000006,-157.41263500000002,-36.25299499999999,60705,1.06
DESTINATION_LATITUDE,5709038.0,36.63692650912816,5.998821576609771,13.48345,20.89865,26.07258,32.89595,37.32547,40.78839,44.88055,47.482,71.28545,7.892440000000001,21.05729,52.62705,110481,1.93
DESTINATION_LONGITUDE,5709038.0,-95.56758369814143,18.182470609210625,-176.64603,-157.92241,-122.37484,-111.97777,-90.25803,-81.68786,-73.77893,-71.00518,-64.79856,30.289910000000006,-157.41263500000002,-36.25299499999999,60714,1.06
SCHEDULED_DEPARTURE_HOUR,5714008.0,13.022191078486415,4.822433927487046,0.0,5.0,6.0,9.0,13.0,17.0,21.0,22.0,23.0,8.0,-3.0,29.0,0,0.0
SCHEDULED_ARRIVAL_HOUR,5714008.0,14.643416320033154,5.068525025673414,0.0,0.0,7.0,11.0,15.0,19.0,22.0,23.0,24.0,8.0,-1.0,31.0,0,0.0
