ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,flights,avg_arrival_delay,delayed_15_pct
ABE,Lehigh Valley International Airport,40.65236,-75.4404,2466,6.280210867802109,17.92
ABI,Abilene Regional Airport,32.41132,-99.6819,2423,2.5369376805612878,15.68
ABQ,Albuquerque International Sunport,35.04022,-106.60919,20723,4.414322250639386,17.63
ABR,Aberdeen Regional Airport,45.44906,-98.42183,733,9.027285129604365,17.87
ABY,Southwest Georgia Regional Airport,31.53552,-84.19447,952,7.8844537815126055,17.75
ACK,Nantucket Memorial Airport,41.25305,-70.06018,513,10.346978557504872,20.86
ACT,Waco Regional Airport,31.61129,-97.23052,1679,3.21143537820131,16.26
ACV,Arcata Airport,40.97812,-124.10862,1387,7.962509012256669,22.35
ACY,Atlantic City International Airport,39.45758,-74.57717,3772,7.858695652173913,21.24
ADK,Adak Airport,51.87796,-176.64603,97,11.824742268041238,43.3
ADQ,Kodiak Airport,57.74997,-152.49386,465,1.8731182795698924,12.9
AEX,Alexandria International Airport,31.32737,-92.54856,3332,8.24249699879952,19.39
AGS,Augusta Regional Airport (Bush Field),33.36996,-81.9645,2568,7.975467289719626,19.43
AKN,King Salmon Airport,58.6768,-156.64922,63,4.349206349206349,22.22
ALB,Albany International Airport,42.74812,-73.80298,8053,-2.24549857196076,13.36
ALO,Waterloo Regional Airport,42.55708,-92.40034,638,-0.5031347962382445,15.83
AMA,Rick Husband Amarillo International Airport,35.21937,-101.70593,4378,6.0883965280950205,17.84
ANC,Ted Stevens Anchorage International Airport,61.17432,-149.99619,17043,-0.4801384732734847,12.5
APN,Alpena County Regional Airport,45.07807,-83.56029,596,1.9899328859060403,13.26
ASE,Aspen-Pitkin County Airport,39.22316,-106.86885,3321,15.26196928635953,29.33
ATL,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,376015,2.4182306556919273,15.8
ATW,Appleton International Airport,44.25741,-88.51948,3018,5.523856858846918,18.89
AUS,Austin-Bergstrom International Airport,30.19453,-97.66987,45263,4.675452356229149,16.84
AVL,Asheville Regional Airport,35.43619,-82.54181,2952,6.324186991869919,17.34
AVP,Wilkes-Barre/Scranton International Airport,41.33815,-75.72427,1438,6.529207232267037,17.8
AZO,Kalamazoo/Battle Creek International Airport,42.23488,-85.55206,1863,0.5104669887278583,16.8
BDL,Bradley International Airport,41.93887,-72.68323,20080,0.17430278884462153,15.11
BET,Bethel Airport,60.77978,-161.838,964,3.8184647302904566,14.32
BFL,Meadows Field,35.4336,-119.05677,2770,3.26101083032491,15.27
BGM,Greater Binghamton Airport,42.20848,-75.97961,321,6.218068535825545,16.2
BGR,Bangor International Airport,44.80744,-68.82814,390,3.2384615384615385,13.08
BHM,Birmingham-Shuttlesworth International Airport,33.56294,-86.75355,13421,4.253259816705164,16.88
BIL,Billings Logan International Airport,45.80766,-108.54286,3114,-2.7280025690430314,9.79
BIS,Bismarck Municipal Airport,46.77411,-100.74672,3719,4.208389351976337,16.83
BJI,Bemidji Regional Airport,47.50942,-94.93372,726,0.7796143250688705,10.61
BLI,Bellingham International Airport,48.79275,-122.53753,704,-1.4105113636363635,10.23
BMI,Central Illinois Regional Airport at Bloomington-Normal,40.47799,-88.91595,2857,4.908995449772489,17.99
BNA,Nashville International Airport,36.12448,-86.67818,50821,4.074673855296039,17.65
BOI,Boise Airport (Boise Air Terminal),43.56444,-116.22278,12680,5.564432176656151,16.31
BOS,Gen. Edward Lawrence Logan International Airport,42.36435,-71.00518,114895,3.7630793333043213,19.67
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),29.95083,-94.02069,990,14.47979797979798,24.85
BQK,Brunswick Golden Isles Airport,31.25903,-81.46631,954,4.481132075471698,16.88
BQN,Rafael Hernández Airport,18.49486,-67.12944,1427,4.538892782060266,20.18
BRD,Brainerd Lakes Regional Airport,46.39786,-94.13723,635,-0.6897637795275591,17.01
BRO,Brownsville/South Padre Island International Airport,25.90683,-97.42586,2454,1.6226568867155664,13.37
BRW,Wiley Post-Will Rogers Memorial Airport,71.28545,-156.766,902,1.728381374722838,14.97
BTM,Bert Mooney Airport,45.9548,-112.49746,708,-6.3940677966101696,6.07
BTR,Baton Rouge Metropolitan Airport,30.53316,-91.14963,7631,10.753374393919538,21.85
BTV,Burlington International Airport,44.473,-73.15031,3229,5.6649117373799935,20.53
BUF,Buffalo Niagara International Airport,42.94052,-78.73217,18061,0.1546426000775151,14.87
BUR,Bob Hope Airport (Hollywood Burbank Airport),34.20062,-118.3585,20280,2.9562130177514794,14.35
BWI,Baltimore-Washington International Airport,39.1754,-76.6682,92320,6.768316724436742,21.98
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),45.7769,-111.15301,3890,1.017223650385604,13.19
CAE,Columbia Metropolitan Airport,33.93884,-81.11954,5439,7.541643684500827,18.77
CAK,Akron-Canton Regional Airport,40.91631,-81.44247,6463,-0.17236577440816958,13.48
CDC,Cedar City Regional Airport,37.70097,-113.09858,625,0.4544,10.72
CDV,Merle K. (Mudhole) Smith Airport,60.49183,-145.47765,714,-1.649859943977591,15.41
CEC,Del Norte County Airport (Jack McNamara Field),41.78016,-124.23653,173,9.583815028901734,24.28
CHA,Chattanooga Metropolitan Airport (Lovell Field),35.03527,-85.20379,4540,5.540748898678414,17.84
CHO,Charlottesville-Albemarle Airport,38.13864,-78.45286,2328,8.504725085910653,19.16
CHS,Charleston International Airport/Charleston AFB,32.89865,-80.04051,12752,3.653858218318695,16.38
CID,The Eastern Iowa Airport,41.88459,-91.71087,7117,8.202332443445272,20.67
CIU,Chippewa County International Airport,46.25075,-84.47239,653,8.22052067381317,16.23
CLD,McClellan-Palomar Airport,33.12723,-117.27873,628,5.240445859872612,16.08
CLE,Cleveland Hopkins International Airport,41.41089,-81.8494,36967,2.625530878891985,16.65
CLL,Easterwood Airport,30.58859,-96.36382,2418,2.031430934656741,12.7
CLT,Charlotte Douglas International Airport,35.21401,-80.94313,108589,5.479763143596497,20.28
CMH,Port Columbus International Airport,39.99799,-82.89188,25735,3.098698270837381,17.47
CMI,University of Illinois - Willard Airport,40.03925,-88.27806,2199,2.9954524783992724,16.83
CMX,Houghton County Memorial Airport,47.16842,-88.48906,679,4.742268041237113,13.99
CNY,Canyonlands Field,38.75496,-109.75484,205,-20.678048780487806,1.95
COD,Yellowstone Regional Airport,44.52019,-109.0238,681,8.146842878120411,22.76
COS,City of Colorado Springs Municipal Airport,38.80581,-104.70025,7350,7.22530612244898,18.19
COU,Columbia Regional Airport,38.81809,-92.21963,1364,10.80058651026393,20.6
CPR,Natrona County International Airport,42.90836,-106.46447,1881,-4.617224880382775,11.43
CRP,Corpus Christi International Airport,27.77036,-97.50122,5075,6.520394088669951,18.11
CRW,Yeager Airport,38.37315,-81.59319,2539,10.075620322961797,22.37
CSG,Columbus Metropolitan Airport,32.51633,-84.93886,1172,4.349829351535837,16.3
CVG,Cincinnati/Northern Kentucky International Airport,39.04614,-84.66217,21370,5.2444080486663545,18.86
CWA,Central Wisconsin Airport,44.77762,-89.66678,1506,3.6088977423638777,15.94
DAB,Daytona Beach International Airport,29.17992,-81.05806,1605,-0.859190031152648,10.59
DAL,Dallas Love Field,32.84711,-96.85177,64545,7.785421024091719,21.89
DAY,James M. Cox Dayton International Airport,39.90238,-84.21938,9106,3.7381945969690316,17.69
DBQ,Dubuque Regional Airport,42.40296,-90.70917,956,1.0481171548117154,15.59
DCA,Ronald Reagan Washington National Airport,38.85208,-77.03772,78338,2.756350685491077,17.81
DEN,Denver International Airport,39.85841,-104.667,211479,6.466495491278094,21.56
DFW,Dallas/Fort Worth International Airport,32.89595,-97.0372,253233,6.416853253722856,21.02
DHN,Dothan Regional Airport,31.32134,-85.44963,1361,9.024246877296106,22.26
DIK,Dickinson Theodore Roosevelt Regional Airport,46.79739,-102.80195,979,-4.297242083758937,10.32
DLG,Dillingham Airport,59.04541,-158.50334,77,-7.87012987012987,9.09
DLH,Duluth International Airport,46.84209,-92.19365,1887,9.45945945945946,20.77
DRO,Durango-La Plata County Airport,37.15152,-107.75377,2194,6.022789425706472,17.5
DSM,Des Moines International Airport,41.53493,-93.66068,8804,6.21637891867333,18.84
DTW,Detroit Metropolitan Airport,42.21206,-83.34884,116874,3.2160702979276827,17.21
DVL,Devils Lake Regional Airport,48.11425,-98.90878,514,2.2315175097276265,11.87
