feature,tail,threshold,tail_rows,tail_pct,target_rate_tail,target_rate_rest,target_rate_lift
DAY_OF_WEEK,p95,7.0,802555,0.1404539510620216,0.18308776345546413,0.1866048601096254,0.9811521701412542
DAY_OF_WEEK,p99,7.0,802555,0.1404539510620216,0.18308776345546413,0.1866048601096254,0.9811521701412542
SCHEDULED_DEPARTURE_HOUR,p95,21.0,342410,0.05992466233858965,0.23195584241114453,0.18318850368177217,1.2662139694862569
SCHEDULED_DEPARTURE_HOUR,p99,22.0,159004,0.027827052394746386,0.21884355110563256,0.18517394406916718,1.181826915259141
SCHEDULED_ARRIVAL_HOUR,p95,22.0,507853,0.08887859449969268,0.25686763689492825,0.17920864822503363,1.4333439788708058
SCHEDULED_ARRIVAL_HOUR,p99,23.0,227441,0.03980410947972071,0.25852418869069343,0.1831090370353629,1.411859255426951
DISTANCE,p95,2239.0,285750,0.050008680421868505,0.18540682414698162,0.1861479318042731,0.9960187166727658
DISTANCE,p99,2588.0,57518,0.010066139214365818,0.19160958308703363,0.18605495634218394,1.0298547636357178
DEPARTURE_DELAY,p95,67.0,285721,0.05000360517521152,0.9999335015627133,0.14327484895327017,6.9791279409329325
DEPARTURE_DELAY,p99,167.0,57761,0.010108666281181265,0.9999826872803449,0.1777996965125462,5.624209190985781
TAXI_OUT,p95,31.0,313068,0.05478956277275075,0.5621494371829763,0.1643136194810533,3.4211980659813577
TAXI_OUT,p99,50.0,58748,0.010281399676024254,0.9141077143051678,0.17854828955697882,5.119666598729613
WHEELS_OFF,p95,2143.0,288335,0.050461077408362046,0.35531586522621256,0.17711885696023333,2.0060871627349535
WHEELS_OFF,p99,2307.0,58416,0.010223296852227018,0.45639893179950697,0.18331909373943522,2.489642090682709
