ROUTE,ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,DESTINATION_AIRPORT,DESTINATION_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,flights,delayed_flights,avg_arrival_delay,delayed_15_rate,delayed_15_pct,adjusted_delay_rate,adjusted_delay_pct,flights_normalized,avg_arrival_delay_positive,avg_delay_normalized,delay_impact_score,cluster,pca_1,pca_2
CLT-MIA,CLT,Charlotte Douglas International Airport,MIA,Miami International Airport,35.21401,-80.94313,25.79325,-80.29056,3232,694,11.995358910891088,0.2147277227722772,21.47,0.2138688736491081,21.39,21.90295473027921,11.995358910891088,3.1483881655882127,18.78,0,1.7249097477082902,0.825495667646014
IAH-PHX,IAH,George Bush Intercontinental Airport,PHX,Phoenix Sky Harbor International Airport,29.98047,-95.33972,33.43417,-112.00806,3535,718,13.34059405940594,0.2031117397454031,20.31,0.2026440404398426,20.26,23.956356736242885,13.34059405940594,3.5014682570619264,18.67,0,1.7339413621523807,1.00677302575925
LAS-SJC,LAS,McCarran International Airport,SJC,Norman Y. Mineta San José International Airport,36.08036,-115.15233,37.36186,-121.92901,3036,663,11.06949934123847,0.2183794466403162,21.84,0.2173504741705446,21.74,20.574681485497425,11.06949934123847,2.905380404524533,18.62,0,1.5991518430364273,0.7317061625685335
SAN-SJC,SAN,San Diego International Airport (Lindbergh Field),SJC,Norman Y. Mineta San José International Airport,32.73356,-117.18966,37.36186,-121.92901,3259,682,11.08837066584842,0.209266646210494,20.93,0.2085772810356737,20.86,22.08593114665221,11.08837066584842,2.910333508096698,18.47,0,1.4790056995133742,0.9618705171622042
OAK-SEA,OAK,Oakland International Airport,SEA,Seattle-Tacoma International Airport,37.72129,-122.22072,47.44898,-122.30931,3537,711,10.800113090189424,0.2010178117048346,20.1,0.2006079425347341,20.06,23.969910544863108,10.800113090189424,2.8346753517557546,18.45,0,1.3740271146194334,1.252218459691281
SEA-OAK,SEA,Seattle-Tacoma International Airport,OAK,Oakland International Airport,47.44898,-122.30931,37.72129,-122.22072,3552,710,10.730574324324325,0.1998873873873874,19.99,0.1995101552570723,19.95,24.07156410951477,10.730574324324325,2.816423707171739,18.41,0,1.3427776288629087,1.27632125825654
DFW-SAN,DFW,Dallas/Fort Worth International Airport,SAN,San Diego International Airport (Lindbergh Field),32.89595,-97.0372,32.73356,-117.18966,3541,703,12.971759390002823,0.1985314882801468,19.85,0.1981903562204966,19.82,23.99701816210355,12.971759390002823,3.4046612572185886,18.4,0,1.5627563838782803,1.0702418099612427
DEN-IAD,DEN,Denver International Airport,IAD,Washington Dulles International Airport,39.85841,-104.667,38.94453,-77.45581,3420,690,12.548538011695909,0.2017543859649122,20.18,0.2013099678973943,20.13,23.177012740580103,12.548538011695909,3.293579530628847,18.37,0,1.5346218637656839,0.9975382289715419
BWI-CLT,BWI,Baltimore-Washington International Airport,CLT,Charlotte Douglas International Airport,39.1754,-76.6682,35.21401,-80.94313,3639,711,11.211046990931576,0.1953833470733718,19.54,0.1951353535701599,19.51,24.661154784494443,11.211046990931576,2.942532018617211,18.31,0,1.3204095251751282,1.3234781947704133
ORD-GRR,ORD,Chicago O'Hare International Airport,GRR,Gerald R. Ford International Airport,41.9796,-87.90446,42.88082,-85.52277,3173,654,13.06366214938544,0.2061140876142451,20.61,0.20550292911666,20.55,21.50311737598265,13.06366214938544,3.428782716374131,18.22,0,1.5719563680865705,0.733268740610802
TUS-LAX,TUS,Tucson International Airport,LAX,Los Angeles International Airport,32.11608,-110.94103,33.94254,-118.40807,2813,606,12.64415215072876,0.2154283682900817,21.54,0.2144219316851452,21.44,19.06343182434264,12.64415215072876,3.318675105178152,18.13,0,1.5660209090029253,0.4300682254298717
SAN-OAK,SAN,San Diego International Airport (Lindbergh Field),OAK,Oakland International Airport,32.73356,-117.18966,37.72129,-122.22072,3771,713,10.19199151418722,0.1890745160434898,18.91,0.1889979558250654,18.9,25.555706153429117,10.19199151418722,2.675063389550451,18.13,0,1.0946689899287125,1.5500154294617148
